"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"PF";31;"CLE";56;56;31.8;37.4;3.2;6;53.7;3.3;3.9;85.4;1;8.8;9.8;3.2;0.6;0.3;2.5;1.6;17.6
"PG";33;"TOR";58;58;36.2;35.2;2.9;5.8;50.4;5.1;5.9;85.7;0.6;4.5;5;7.5;1.4;0.4;3.1;3.3;19.4
"PF";24;"SAS";63;53;20.2;38.7;1.4;2.8;50.3;0.5;0.7;73.3;1.1;4.6;5.7;1.1;0.4;0.4;0.6;1.6;6.4
"SG";24;"MIA";4;0;3.5;50;0;0.3;0;0;0;NA;0;0;0;0.3;0;0;0.5;0.3;0.8
"SG";24;"CLE";1;0;1;NA;0;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0
"PG";30;"ORL";8;0;4.8;25;0.5;1.4;36.4;0.1;0.3;50;0.1;0.6;0.8;0.6;0.4;0.1;0.6;0.5;1.5
"C";33;"WAS";38;35;21.3;19.2;2.6;4.8;53.8;1.8;3;61.9;2.1;3.7;5.7;1.3;0.8;1.2;1.2;3;7.4
"C";22;"DET";60;14;12.9;34.4;1.2;2.2;55;1.2;1.8;66.4;0.9;1.9;2.8;0.7;0.4;0.7;0.8;1.7;4.7
"C";31;"DAL";44;5;9.6;23.5;2.7;4.4;60.3;1;1.3;75.4;1.5;3;4.5;0.5;0.2;0.2;0.7;1.3;6.6
"PF";22;"CHI";50;50;29.8;34.4;2.8;5.5;51.8;2.5;3.1;82.4;1.2;5.1;6.3;1.5;0.8;0.5;1.6;1.9;14.7
"SF";24;"CHO";18;1;17.6;54.1;0.9;2.6;36.2;0.9;1.2;81;0.6;1.6;2.1;1.3;0.7;0.4;0.8;1.8;6.2
"PG";23;"BRK";9;0;11;27.8;2.1;3.9;54.3;1.2;1.6;78.6;0.1;1;1.1;2;0.8;0.2;0.4;0.8;7.1
"SF";24;"MIN";31;4;16;26;1.5;2.7;54.1;1;1;96.8;0.4;2.7;3.1;0.7;0.2;0.3;0.6;1.6;6.4
"PG";25;"MIL";9;0;13.1;28.6;1.9;3.3;56.7;1.1;1.9;58.8;0.6;1.6;2.1;3.2;0.6;0.1;1.2;1.2;6.9
"SG";23;"WAS";18;0;12.6;41.3;0.3;0.6;50;1.7;1.9;91.2;0.3;1;1.3;0.6;0.4;0.1;0.4;1.8;5.4
"SG";33;"MIL";67;67;24.4;36.4;0.9;1.9;47.2;0.8;1;76.5;0.3;2.1;2.5;1.4;0.6;0.1;0.6;1.5;7.4
"PF";33;"HOU";3;0;8.3;0;0.7;1;66.7;0.3;0.7;50;0.3;0.3;0.7;0;0.7;0;0.3;0;1.7
