"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"SG";25;"OKC";31;2;19;32.3;0.5;1;50;0.4;0.4;92.3;0.2;1.4;1.5;0.6;0.5;0.2;0.5;1.7;5.3
"PF";28;"PHO";10;0;12.3;13.3;0.2;0.3;66.7;0.7;1;70;0.3;2.2;2.5;0.8;0.1;0.4;0.4;2.4;1.7
"PG";22;"ATL";34;1;12.6;33.8;0.4;1.1;36.1;0.2;0.3;77.8;0.3;1.4;1.8;1.9;0.4;0.1;0.8;1.3;3.2
"C";25;"OKC";80;80;33.4;0;6;10.1;59.6;1.8;3.7;50;4.9;4.6;9.5;1.6;1.5;1;1.7;2.6;13.9
"C";21;"MIA";82;28;23.3;20;3.4;5.7;58.8;2;2.8;73.5;2;5.3;7.3;2.2;0.9;0.8;1.5;2.5;8.9
"SG";25;"DEN";7;0;3.1;0;0.4;0.9;50;0.1;0.3;50;0.1;0.4;0.6;0.9;0.3;0;0.3;0.6;1
"C";33;"SAS";81;81;33.2;23.8;8.3;15.8;52.8;4.3;5.1;84.7;3.1;6.1;9.2;2.4;0.5;1.3;1.8;2.2;21.3
"SG";21;"CHI";10;1;12;25;1;2.7;37;0.8;1.2;66.7;1.1;1.5;2.6;1.3;0.1;0;0.8;0.7;3.7
"SG";23;"UTA";38;2;10.9;32.3;0.9;2.1;44.3;1.2;1.6;75;0.1;0.5;0.6;0.7;0.2;0.2;0.9;1.2;5.6
"SG";26;"NYK";19;1;21.9;47.2;2.5;5.5;45.7;2.2;2.8;77.8;0.4;2.3;2.7;4;0.8;0.2;1.4;2.4;9.9
"PF";28;"POR";81;81;28.3;34.3;2;3.9;51.4;1.9;2.1;86.7;1.4;6.1;7.5;1.3;0.8;0.4;0.9;1.8;9.4
"SF";25;"ATL";48;4;9.6;31.2;0.8;1.7;50;0.5;0.7;74.3;0.5;1.3;1.8;0.5;0.5;0.3;0.5;1;3.7
"SF";25;"MEM";43;40;29.8;26.5;3.3;5.6;58.3;0.9;1.5;57.8;1.1;4.7;5.8;3;1.3;0.9;1.3;2.6;8
"PF";30;"TOT";25;8;12.9;22.5;0.5;1.2;41.4;0.5;0.6;75;0.7;1.4;2.2;0.8;0.2;0;0.6;1;2.5
"PF";30;"PHO";15;8;18.5;20.6;0.8;1.7;46.2;0.7;0.9;78.6;0.9;2.1;3;1.1;0.2;0.1;0.8;1.5;3.7
"PF";30;"MIA";10;0;4.4;33.3;0;0.3;0;0.1;0.2;50;0.4;0.5;0.9;0.2;0.1;0;0.2;0.2;0.7
"C";20;"IND";3;0;2;NA;0;1;0;0;0;NA;0.3;0.7;1;0.3;0;0.3;0.3;0;0
"PF";24;"MIL";72;72;32.8;25.6;9.3;14.5;64.1;6.9;9.5;72.9;2.2;10.3;12.5;5.9;1.3;1.5;3.7;3.2;27.7
"PF";21;"DAL";2;0;5.5;NA;0;1.5;0;1;2;50;0;0.5;0.5;0;1;0;0.5;0;1
"PF";34;"HOU";10;2;29.4;32.8;2.8;5.7;49.1;1.5;2.2;68.2;0.9;4.5;5.4;0.5;0.4;0.7;0.8;3.2;13.4
"SF";21;"TOR";67;6;20.2;33.2;1.7;3;57.4;0.5;0.9;58.1;0.9;2.1;2.9;0.7;0.7;0.3;0.8;2.1;7
"PG";24;"CHI";81;32;24.2;37.3;1.3;2.5;52.7;1.1;1.3;87.3;0.3;2.4;2.7;3.3;0.8;0;0.8;2.1;6.7
"SF";33;"PHO";26;26;34;36;1.4;3.4;40.9;1.4;1.7;83.7;0.6;5;5.6;3.3;1.5;0.3;1.5;1.7;9.9
"SF";33;"WAS";43;43;34.1;32.2;2.6;5;52.8;2.2;2.8;77.7;0.8;4.5;5.3;3.8;1.2;0.3;1.6;2;14.1
"PG";31;"ORL";81;81;28;42.1;2.3;4.5;51.1;2.2;2.6;86.6;0.5;2;2.5;5.3;0.6;0;1.6;1.4;11.7
"SG";23;"CHO";43;13;17.7;43.7;2;4;49.4;0.8;1.1;73.9;0.2;1.9;2.1;1.1;0.3;0.1;0.4;1.7;7.3
"PF";19;"SAC";62;4;25.3;31.3;5.3;9.8;53.4;2.9;4.2;69.1;2.6;5;7.6;1;0.5;1;1.6;1.9;14.9
"SG";25;"NYK";11;0;9.7;11.1;0.3;0.6;42.9;0.5;0.5;83.3;0.1;0.5;0.6;1.2;0.5;0;0.3;1.5;1.3
"SG";25;"WAS";4;0;11.3;0;0;0;NA;0;0;NA;0;1;1;0.5;0.3;0.3;0.5;0.5;0
"PG";22;"POR";16;0;5.9;22.2;0.5;1.5;33.3;0.5;0.7;72.7;0.1;0.8;0.9;0.8;0.1;0.1;0.9;0.7;1.9
"PG";21;"LAL";47;45;30.3;32.9;2.3;4.9;48.2;0.4;1;41.7;1.1;4.2;5.3;5.4;1.5;0.4;2.2;2.4;9.9
"C";20;"ORL";47;1;16.3;30;2;3.7;55.5;0.8;1.3;58.7;1.4;3.6;5;0.8;0.3;1.4;0.9;2.2;6.2
"PG";34;"DAL";38;0;19.8;29.7;3.2;6.8;47.9;1.4;2.1;70.5;0.3;2.2;2.5;5.6;0.6;0;1.9;1.3;10.9
"PF-SF";26;"TOT";77;77;32.9;39.5;3.3;7.6;43.9;3;3.6;82.4;0.7;3.9;4.7;1.5;0.6;0.2;1.3;1.6;16.4
"PF";26;"DAL";49;49;32.3;38.9;3.4;8.3;41.6;3.4;4;83.3;0.7;3.5;4.2;1.3;0.7;0.2;1.4;1.6;17.7
"SF";26;"SAC";28;28;33.9;40.8;3.1;6.4;48.9;2.3;2.9;80;0.8;4.8;5.5;1.9;0.6;0.1;1.1;1.5;14.3
"SF";23;"MIN";30;3;16.8;25;1.6;3;52.2;0.6;0.9;64.3;0.5;2.2;2.8;0.6;0.6;0.5;0.5;1;5
"SF";30;"CHO";75;72;31.4;38.9;1.8;3.5;51.9;1;1.2;86.5;0.9;4.3;5.2;3.3;0.9;0.6;1.6;1.9;9.3
"PG";30;"MIN";34;6;19.3;29.6;1.6;3.9;40.2;0.5;0.8;57.1;0.3;1.5;1.8;3.5;0.5;0.1;0.9;1.6;6.1
"C";32;"BOS";51;18;16.1;34.4;1.6;3.2;51.9;1;1.2;85.5;1.7;3;4.7;1.1;0.2;0.7;0.8;2.5;5.6
"SG";29;"ATL";67;35;24.5;32;2.7;5.8;46.5;1.9;2.6;72.6;0.6;3.3;3.9;2.3;1.3;0.6;1.8;2.5;11.6
"SG";25;"WAS";82;82;36.9;35.1;6.8;12.4;54.8;4.4;5.5;80.8;1.1;3.9;5;5.5;1.5;0.7;2.7;2.8;25.6
"SG";22;"DEN";81;18;23.2;40.2;2.3;4.1;56;0.7;0.8;84.8;0.4;2;2.5;1.2;0.7;0.1;0.7;1.4;11.3
"PF";30;"LAL";26;2;10.7;17.6;2.8;5.2;52.9;1.1;1.5;71.8;0.5;1.8;2.3;1;0.3;0.4;1;1.6;7
"SG";32;"SAS";79;1;23;37.2;1.7;3.7;46.8;1.4;1.6;90.3;0.2;2.3;2.5;1.7;0.4;0.1;0.9;1.5;10.5
"C";24;"GSW";68;3;11.6;0;1.5;2.8;52.1;0.4;0.6;61;0.8;1.9;2.7;1.1;0.3;0.8;0.6;1.2;3.3
"SG";24;"ATL";82;15;23.5;28.9;2.7;5.4;50.8;1.1;1.7;64;0.7;3.7;4.4;2.5;1.3;0.5;1.7;2.3;8.4
"PF";21;"PHO";46;27;18;21.8;1.4;2.1;68.8;0.7;1.2;59.3;0.7;3.2;4;1.2;0.4;0.5;0.8;2;5
"SG";29;"NOP";12;0;13.9;29.4;0.2;1.1;15.4;0;0;NA;0.2;0.6;0.8;0.8;0.1;0;0.2;0.6;2.8
"PF";26;"SAS";76;12;21.5;42.9;0.8;1.5;51.3;0.7;0.8;88.3;0.3;3.2;3.5;1.3;0.5;0.4;0.6;1.8;8
"PG";30;"LAC";78;49;27.4;39.7;1.1;2.5;42.1;1.2;1.6;78;1;4;5;3.8;0.9;0.6;1.1;3.4;7.6
"C";26;"ORL";50;1;12.9;0;1.8;3;60.7;1.2;1.7;69.9;1.6;2.2;3.8;0.8;0.4;0.6;0.4;1.4;4.8
"C";26;"CHO";54;32;14.5;NA;1.6;2.9;57.1;1.1;1.7;63.7;1.5;3.1;4.6;0.6;0.2;0.8;0.6;1.9;4.4
"PF";30;"SAC";77;70;23.2;40.1;2.4;4.4;53.9;0.9;1.2;76.1;1.6;4.1;5.8;1.9;0.7;0.7;1.1;2.6;9.6
"SG";22;"CHI";57;3;14.5;39.6;2.3;5.4;42.6;0.9;1.3;65.8;0.1;1.7;1.9;0.7;0.2;0.2;0.6;0.7;7.3
"PG";29;"MIL";78;78;29.1;32.9;4.4;7.6;58.2;2.3;3;75;1.1;3.6;4.6;5.5;1.5;0.4;2.1;2;15.9
"SF";25;"CLE";27;4;16.3;25.6;1.4;2.5;55.2;0.4;0.5;76.9;1;2.7;3.6;0.5;0.3;0.3;0.4;0.7;4.2
"SG";26;"SAC";70;17;27.8;36;3.2;7;46.2;1.9;2.3;82.7;0.6;2.9;3.5;3.8;1;0.2;1.7;2;14.1
"SF";29;"IND";81;81;31.8;42.5;4.4;8.2;53.8;3;3.8;80.7;0.4;3.7;4.1;2;0.9;0;1.7;1.7;18
"C";34;"GSW";11;5;12.2;NA;1.6;3.3;50;0.3;0.3;100;1.1;3.9;5;1;0.3;0.7;0.7;2;3.5
"PF";23;"PHI";44;10;14.5;35.4;1;1.5;69.7;0.3;0.6;48.1;1.1;2.7;3.8;0.9;0.4;0.9;0.8;2.3;4.7
"PG";19;"LAL";22;0;5.5;0;0.2;1.1;20;0.4;0.7;60;0.4;0.7;1.1;0.7;0.4;0.2;0.3;0.4;0.9
"SG";22;"PHO";64;64;35;32.6;7;13.1;53.6;6.1;7.1;86.6;0.6;3.5;4.1;6.8;0.9;0.2;4.1;3.1;26.6
"PF";26;"TOR";28;0;5.8;32.4;0.8;1.4;56.4;0.5;0.5;86.7;0.6;1.4;2;0.1;0.2;0.9;0.3;1.1;3.3
"SG";28;"TOT";63;63;30.2;35.1;2.6;5.8;44.6;0.7;0.8;86;0.7;2.1;2.8;2.4;0.7;0.3;1.4;2.7;9.9
"SG";28;"LAC";49;49;29.9;33.7;2.1;5.1;41.5;0.4;0.5;80;0.7;2;2.7;2;0.6;0.3;1.2;2.7;8.2
"SG";28;"MEM";14;14;31.6;38.4;4.2;8.2;51.3;1.6;1.8;92;0.6;2.6;3.1;4;1;0;2;2.4;16.1
"C";21;"UTA";3;0;12;NA;2.7;5.3;50;0.3;0.7;50;3;2;5;0.3;0.7;0.7;1;2;5.7
"SF";32;"TOT";31;3;15.9;31.8;1.3;2.5;49.4;1;1.4;72.1;0.8;1.6;2.5;1.3;1;0.2;0.6;2;4.9
"SF";32;"PHI";7;3;20;28.6;2.3;5;45.7;1.3;1.9;69.2;0.6;1.9;2.4;1.4;1.7;0.3;1.1;2.3;7.6
"SF";32;"SAC";24;0;14.7;33.3;1;1.8;52.3;0.9;1.3;73.3;0.9;1.5;2.5;1.2;0.8;0.2;0.5;2;4.1
"SF";22;"PHO";82;56;29.5;33.5;1.7;3;54.8;1.2;1.4;80.5;0.7;2.5;3.2;2.1;1.6;0.5;0.9;2.5;8.3
"SF";20;"CHO";80;25;21.2;32.5;2.2;3.9;55.3;0.7;1;75.3;0.8;3.2;4;1.2;0.7;0.6;0.6;1.4;7.5
"SG";28;"DAL";42;0;10.8;40.9;0.5;0.8;57.6;0.4;0.5;78.9;0.2;1.3;1.5;0.5;0.1;0.1;0.4;0.8;4
"SG";26;"MIL";64;64;28.6;42.6;4.3;7.9;54.4;2.2;2.4;92.8;1;3.5;4.5;3.2;0.7;0.2;1.4;1.6;15.6
"SF";23;"MEM";18;0;18.3;37.5;1.9;4.6;41.5;1.2;1.7;73.3;0.5;1.2;1.7;0.9;0.6;0.2;1.1;2.8;7.5
"SG";30;"MEM";29;0;13.3;27.8;2.1;4;53;0.8;1.1;69.7;0.4;1.1;1.6;0.9;0.3;0.1;0.7;1.1;6.6
"SG";22;"DET";74;56;19.6;25.8;1.4;3;45.7;0.6;0.8;75;0.6;1.9;2.5;1.2;0.5;0.5;0.6;2.4;4.3
"SG";22;"BOS";74;25;25.9;34.4;3.7;7;52.9;1.8;2.7;65.8;0.9;3.4;4.2;1.4;0.9;0.4;1.3;2.5;13
"PG";28;"TOR";26;0;8.2;21.4;0.7;1.7;39.5;0.1;0.1;100;0.2;1;1.2;1.1;0.5;0.2;0.6;0.8;2.1
"SG";23;"MIL";58;7;17.8;36.1;1.6;2.8;55.8;0.5;0.7;69;0.5;2.7;3.2;1.4;0.4;0.1;0.8;1.5;6.4
"SF";19;"WAS";52;10;14;31.9;1.4;3.2;45.5;0.6;0.9;68.1;0.7;2.1;2.8;1.5;0.4;0.1;0.6;1.1;4.8
"PG";22;"DAL";73;38;21.8;34.8;2.8;5.3;52.3;1.2;1.6;72.5;0.3;2;2.3;3.2;0.5;0.1;1.2;1.7;9.3
"C";21;"WAS";72;53;20.8;33.3;3.8;5.6;68.5;1.5;1.9;78.1;1.6;4.7;6.3;1.3;0.3;0.9;0.8;1.8;10.5
"SG";27;"TOT";63;60;29.8;37.7;1.5;3.2;48.3;1.2;1.3;85.9;0.3;2.4;2.7;2;0.6;0.2;1;1.7;11.3
"SG";27;"DET";44;44;30.8;38.8;1.5;3.3;46.3;1.3;1.5;87.5;0.5;2.3;2.8;2.5;0.5;0.1;1.2;1.8;12.1
"SG";27;"LAL";19;16;27.6;34.3;1.5;2.8;53.7;0.9;1.1;81;0.1;2.5;2.6;1.1;0.8;0.4;0.6;1.6;9.3
"PG";26;"TOT";58;8;19.4;35.2;3.1;6.7;46.3;1.8;2.1;83.1;0.5;1.2;1.7;2.7;0.6;0.1;0.8;1;10.9
"PG";26;"NYK";33;7;20.9;34.9;3.6;8.2;43.4;1.9;2.3;82.7;0.5;1.4;1.9;2.8;0.6;0.2;0.9;1;11.8
"PG";26;"DAL";25;1;17.4;35.6;2.5;4.7;53;1.6;2;83.7;0.5;1;1.5;2.6;0.5;0.1;0.8;1;9.7
"SG";27;"TOT";64;24;21.5;36.3;2;4.8;42.8;1.8;2.2;82.3;0.5;3.2;3.7;2;0.6;0.3;1;1.4;8.8
"SG";27;"UTA";17;0;15.8;37.2;1.8;4.2;43.7;1.9;2.2;86.8;0.1;1.5;1.6;1.2;0.4;0.2;0.9;1.3;8.4
"SG";27;"CLE";34;24;28.8;37.8;2.7;6.5;41.2;2.3;2.9;80.6;0.8;4.7;5.5;2.9;0.7;0.5;1.4;1.8;11.6
"SG";27;"SAC";13;0;9.8;0;0.7;1.1;64.3;0.3;0.4;80;0.2;1.5;1.7;0.8;0.6;0.1;0.3;0.5;1.7
"SG";25;"OKC";32;0;7.5;29.6;0.8;1.7;45.5;0.3;0.4;66.7;0.1;0.8;0.9;0.3;0.2;0.3;0.3;1;2.6
"SF-SG";29;"TOT";65;65;33.6;34.7;5.4;10.9;49.4;4.8;5.6;85.5;1.9;3.4;5.3;4;1.9;0.6;1.5;1.7;18.7
"SG";29;"MIN";10;10;36.1;37.8;5.7;11.2;50.9;4.8;6.1;78.7;1.6;3.6;5.2;4.3;2.4;1;1.4;1.8;21.3
"SF";29;"PHI";55;55;33.2;33.8;5.3;10.9;49.1;4.8;5.5;86.8;1.9;3.4;5.3;4;1.8;0.5;1.5;1.7;18.2
"PF";23;"MEM";34;19;23.5;36.9;1.4;2.8;50.5;1.2;1.5;84;1.2;3.4;4.6;1.5;0.4;1;1.1;2.4;8.3
"PG";37;"DET";49;0;12.9;24.6;0.6;1.3;49.2;0.2;0.2;81.8;0.2;1;1.2;2.3;0.3;0.1;0.7;1.3;2.3
"SG";25;"LAL";82;23;24.8;34.7;2.1;3.9;54.2;1.7;1.9;86.7;0.6;2.3;2.9;1.3;0.9;0.2;0.8;1.7;11.4
"PG";27;"TOT";30;16;21;35.4;1;2.3;44.1;0.6;0.8;79.2;0.2;1.7;1.9;2.8;0.5;0.1;1.2;1.7;6
"PG";27;"PHO";19;15;26.5;34.7;1.4;3;45.6;0.8;1.1;75;0.3;2.3;2.6;3.3;0.6;0;1.5;2.4;7.5
"PG";27;"MIN";7;1;13.6;36.8;0.6;1.4;40;0.6;0.6;100;0;0.7;0.7;2.7;0.3;0.1;0.6;0.6;4.7
"PG";27;"MIL";4;0;7.8;40;0;0.3;0;0;0;NA;0.3;0.8;1;0.8;0;0.3;0.5;0.5;1.5
"C";24;"HOU";67;67;33.6;NA;7.1;10.9;64.8;2.5;3.9;63.6;4.4;8.2;12.7;1.4;0.7;1.5;1.4;2.5;16.6
"PF";32;"BRK";67;8;25.4;34.2;1.8;4;45.7;2.7;3.6;76;1;4.2;5.2;1.3;0.5;0.1;1.1;1.7;11.1
"C";19;"CHI";44;44;25.2;18.8;4;7.7;51.3;2;2.5;79.5;2;5;7;1.8;0.6;1.3;1.5;3.5;10.3
"PG";27;"TOT";28;1;13.3;26.3;1.3;3;42.4;1.1;1.9;60.4;0.7;1.8;2.5;2.5;0.7;0.5;0.7;1.7;4.8
"PG";27;"HOU";16;1;9.1;36.8;1.1;2.6;42.9;0.8;1.6;46.2;0.2;0.6;0.8;1.3;0.6;0.4;0.6;1.7;4.3
"PG";27;"ORL";12;0;18.9;15.8;1.5;3.6;41.9;1.7;2.3;74.1;1.3;3.4;4.8;4.1;0.9;0.8;0.8;1.8;5.4
"PG";24;"LAL";25;4;21.2;48;2.1;4.9;43.1;2;2.6;79.7;0.8;1.9;2.7;3.1;1;0.4;1.7;2.2;9.2
"SF";30;"MEM";36;0;14.4;34.9;2;3.3;60.2;1.1;1.6;67.2;0.5;2.7;3.2;0.7;0.6;0.3;0.6;1;6.3
"PG";23;"ORL";4;0;4;66.7;0.5;1.3;40;0;0;NA;0.3;0.5;0.8;1;0.3;0;0;0;2.5
"PF";24;"UTA";11;0;3.5;20;0.2;0.5;40;0.2;0.2;100;0.3;0.5;0.7;0.1;0;0;0.1;0.3;0.8
"C";36;"TOT";55;6;15.9;0;1.1;1.8;62.2;0.9;1.6;58.6;1.7;3.9;5.6;0.7;0.4;0.4;0.8;2;3.1
"C";36;"PHO";7;0;12.7;NA;1.1;1.7;66.7;1.4;2.6;55.6;1;4.6;5.6;0.9;0.3;0.1;1;3;3.7
"C";36;"LAL";48;6;16.4;0;1.1;1.8;61.6;0.9;1.4;59.4;1.8;3.8;5.6;0.6;0.4;0.5;0.7;1.9;3.1
"PF-SF";31;"TOT";51;33;23.1;37.3;1.1;2.3;47.8;0.4;0.5;72;0.9;3.3;4.2;1.6;0.5;0.4;0.9;2.4;6
"PF";31;"PHI";36;32;26.4;39;1.3;2.5;50.6;0.4;0.5;72.2;1.2;3.4;4.7;2;0.6;0.5;1.1;2.6;6.7
"SF";31;"LAC";15;1;15.1;32.5;0.7;1.7;38.5;0.3;0.5;71.4;0.3;2.9;3.1;0.7;0.2;0.2;0.5;1.9;4.3
"PG";23;"CHO";1;0;8;NA;1;3;33.3;0;0;NA;0;0;0;1;0;0;0;1;2
"PF";21;"TOT";43;2;11.6;22.2;1.2;2.5;47.2;0.7;1;71.1;0.9;2.4;3.3;0.5;0.4;0.3;0.8;1.9;4.2
"PF";21;"CLE";27;2;14.6;26.3;1.5;3.3;46.1;1;1.4;68.4;1.2;3;4.2;0.6;0.6;0.3;0.9;2.4;5.7
"PF";24;"HOU";51;2;12.6;29.7;0.2;0.3;69.2;0.1;0.1;100;0.5;1.8;2.3;0.4;0.4;0.5;0.1;0.9;2.9
"SG";27;"NOP";60;6;16.2;32.7;1.4;3;47;0.6;0.6;89.2;0.2;1.3;1.5;1.6;0.4;0.1;1;1.6;6.7
"PF";21;"ATL";61;59;30;34.8;6.7;11;60.9;3.3;4.4;76.3;3.6;6.2;9.8;2;0.4;0.6;2;3.3;19.5
"C";21;"POR";77;0;17.6;33.1;1.9;3.6;53.4;1.2;1.6;74.6;1.4;2.8;4.2;0.9;0.3;0.9;1;2.3;6.6
"PG";31;"IND";76;76;28.2;40.7;3;6.1;49.2;2.1;2.5;83.2;0.5;2.6;3.1;6;1.4;0.1;1.6;1.8;11.2
"SF";23;"MIL";8;2;12.3;23.8;1;2.3;44.4;1;1.1;88.9;1;2.8;3.8;0.4;0.6;0.1;0.4;0.4;4.9
"PG";31;"MEM";70;70;33.5;36.4;4.8;9.9;48.3;4.9;5.8;84.5;0.6;2.8;3.4;6.4;1.3;0.3;1.9;1.8;21.1
"PG";25;"GSW";74;10;14.3;40.5;1.7;3.2;51.5;0.3;0.4;76.9;0.3;1.8;2.1;1.6;0.3;0;0.7;1.2;6.9
"C";28;"GSW";30;30;25.7;27.4;5.1;9.2;55.1;3.5;4.8;73.6;1.4;6.8;8.2;3.6;1.3;1.5;2.4;3.6;16.3
"SF";28;"TOT";35;35;34.4;37.8;2;3.9;51.8;1.9;2.5;76.4;0.8;4.7;5.5;1.3;2.1;1.3;1.3;3.6;13.3
"SF";28;"PHI";13;13;33.8;39;1.5;3.1;50;1.3;1.8;73.9;0.5;4.6;5.2;1.1;1.8;1.8;1.7;3.5;11.3
"SF";28;"MIN";22;22;34.7;37.2;2.3;4.4;52.6;2.3;3;77.3;1;4.8;5.7;1.5;2.3;1.1;1.1;3.7;14.5
"SG";26;"BRK";43;20;26.3;37.8;0.9;2.7;34.2;1;1.3;73.2;0.4;3.1;3.4;1.1;0.5;0.3;1.1;2.4;9.6
"SF";28;"DEN";75;37;20;32.4;1.3;2.3;56.9;0.7;0.9;70;1.2;2.3;3.5;1;0.5;0.6;0.6;2.3;5.7
"SG";38;"PHO";64;0;18.9;33.2;1.7;3.7;45.3;1.5;1.7;84.5;0.1;1.2;1.3;3.6;0.5;0.2;1.5;1.2;7.9
"SF";26;"TOT";5;0;9.6;0;1.6;2.8;57.1;1;1.4;71.4;1.2;1.2;2.4;1.2;0.4;0;0.2;0.6;4.2
"SF";26;"BRK";4;0;9;0;1.3;2.3;55.6;1.3;1.8;71.4;1.3;1.3;2.5;1.3;0.3;0;0;0.8;3.8
"SF";26;"MIN";1;0;12;0;3;5;60;0;0;NA;1;1;2;1;1;0;1;0;6
"PF";31;"SAS";64;21;14.5;46.2;0.7;1.5;48.4;0.2;0.3;77.8;0.8;2.2;2.9;0.8;0.4;0.2;0.3;1.1;3
"PG";30;"GSW";69;69;33.8;43.7;4;7.7;52.5;3.8;4.2;91.6;0.7;4.7;5.3;5.2;1.3;0.4;2.8;2.4;27.3
"SG";27;"PHO";51;1;14.9;38.1;0.8;1.6;48.1;0.4;0.5;78.3;0.3;1.2;1.4;0.5;0.5;0.1;0.5;1.5;6.2
"C";25;"NOP";56;56;33;33.1;8.6;15.7;54.7;6.1;7.7;79.4;3.1;8.9;12;3.9;1.6;2.4;2;2.4;25.9
"C";22;"ATL";9;0;13.1;0;1.7;2.3;71.4;0.7;1.1;60;1.1;2.9;4;0.6;0.3;0.6;0.3;1.3;4
"C";29;"BRK";81;1;17.9;0;2.3;3.7;62;1.2;2;61.7;2.7;5.9;8.6;0.8;0.4;0.4;0.8;2.8;5.8
"C";21;"OKC";1;0;1;NA;0;1;0;0;0;NA;1;0;1;0;0;0;0;0;0
"C";29;"ATL";64;52;25.1;38.2;2.8;4.8;57;1.4;1.8;81.4;1.6;5.9;7.5;1.4;1.1;1.1;1.3;3.3;10.8
"PF";24;"CLE";9;5;18.8;38.5;1.9;3.9;48.6;0.9;1.1;80;1;2.7;3.7;1;1.2;0;0.6;1.4;6.3
"PF";24;"WAS";38;0;16.3;28.6;2.2;4.2;52.8;0.5;0.9;55.6;1.2;1.9;3;1;0.7;0.2;0.5;0.9;6.1
"C";24;"LAC";2;0;7.5;NA;0.5;2.5;20;0.5;1;50;1;1;2;0;0.5;0;0;1;1.5
"PG";28;"TOT";48;0;16.9;33.8;1.1;2.3;48.2;0.9;1.1;80.8;0.1;1.5;1.6;3.8;0.3;0;1.4;1.6;5.9
"PG";28;"MIL";12;0;8.1;36.4;0.2;0.7;25;0.3;0.3;100;0;0.8;0.8;2.4;0.2;0;0.9;0.8;1.7
"PG";28;"CLE";36;0;19.9;33.6;1.4;2.9;50;1.1;1.3;79.2;0.2;1.7;1.9;4.2;0.3;0.1;1.6;1.8;7.3
"SG";29;"SAS";77;77;34.9;15.6;8.1;16.5;49.2;4.8;5.7;83;0.7;5.3;6;6.2;1.1;0.5;2.6;2.3;21.2
"PF";22;"GSW";11;0;6.1;50;0.5;1.2;46.2;0.4;0.5;80;0.7;0.5;1.2;0.1;0;0.1;0.3;0.8;4.2
"SG";20;"OKC";51;3;10.3;16.7;1.4;2.8;50.4;0.7;1.2;61;0.7;1.2;1.9;0.3;0.4;0.2;0.5;1.5;3.7
"C";29;"MIN";76;2;13.6;33.9;2.2;4.2;53;1.2;1.4;83;1.1;3;4.1;0.9;0.6;0.5;0.8;1.8;6.4
"PG";25;"BRK";68;4;28.1;33.5;3.6;6.7;52.8;4.2;5.2;80.6;0.4;2.1;2.4;4.6;0.6;0.3;2.2;2.8;16.8
"SG";22;"MIL";27;0;15.2;26.5;1;1.5;68.3;0.3;0.4;75;0.6;1.8;2.4;1.1;0.5;0.2;0.7;1.4;4.9
"SG";22;"TOT";48;11;14.5;33.3;1.3;2.8;47.7;0.8;1.3;62.3;0.6;1.8;2.4;1.2;0.3;0;0.6;1.1;6.2
"SG";22;"ATL";27;0;9.3;25.6;0.8;1.9;44;0.6;1;61.5;0.3;1.3;1.6;0.6;0.3;0;0.4;0.7;3.3
"SG";24;"NYK";73;40;27.5;36.8;2.2;4.9;46.1;1;1.3;74.5;0.5;3.1;3.6;1.8;0.8;0.1;1;1.8;10.7
"SG";22;"BOS";6;0;8.5;25;1;2.2;46.2;0.2;0.3;50;1;1.8;2.8;0.8;0.3;0;0;0.3;3.2
"PG";32;"MIA";36;22;27.5;34.8;3.4;7.5;45.4;2.2;2.8;78.2;0.6;2.5;3.1;4.8;0.8;0.1;2;2.3;13.7
"C";25;"DET";79;79;33.5;13.2;7;12.8;54.8;3.1;5.2;59;5.4;10.2;15.6;1.4;1.7;1.7;2.2;3.4;17.3
"PF";33;"BRK";59;25;20.7;35.1;0.8;1.5;54.5;0.5;0.8;69.6;0.6;2.1;2.6;1.4;0.6;0.3;0.7;2.2;4.9
"PG";24;"CHI";46;44;30.2;35.4;3.9;8.9;44.1;1.2;1.5;79.7;0.4;3.7;4.1;6;1.5;0.5;2.3;3.6;11.3
"SF";30;"GSW";78;78;34.6;35.3;7.5;12.8;58.7;5.7;6.5;88.5;0.4;5.9;6.4;5.9;0.7;1.1;2.9;2;26
"PG";20;"MIL";3;0;2;100;0.3;0.7;50;0;0;NA;0;0.3;0.3;0.7;0;0;0;0;1.7
"SF";22;"HOU";2;0;8;25;0;0;NA;0;0;NA;0.5;0.5;1;0;0;0;0;0;1.5
"PF";22;"TOT";19;0;13.6;44.7;1.2;3;38.6;1;1.3;76;0.3;3.2;3.5;0.8;0.4;0.1;0.5;1.4;6
"PF";22;"DET";2;0;12.5;50;1;3;33.3;1;1;100;0;4.5;4.5;0.5;0;0;0;1;6
"PF";22;"NYK";17;0;13.8;44.1;1.2;3;39.2;1;1.4;73.9;0.3;3.1;3.4;0.9;0.4;0.1;0.5;1.5;6
"SG";31;"TOT";53;38;24.5;37.1;0.9;1.6;54.1;0.7;0.9;79.6;0.3;1.8;2;1.4;1;0.1;0.8;1.7;10.3
"SG";31;"MIA";25;12;21.3;36.8;0.5;1.2;41.4;0.6;0.6;87.5;0.2;1.6;1.9;1.2;1;0.1;0.6;1.6;8.4
